"jurisdiction","jurisdiction_code","indicator_id","indicator_text","points_possible","answer","points_awarded","source_url","source_title","source_type","source_date","accessed_date","evidence_quote","protocol_step","note"
"Maine","ME","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.maine.gov/bhr/state-employees/employee-suggestion-program","Maine Bureau of Human Resources - Employee Suggestion Program","OFFICIAL","UNDATED","2026-07-31","""The Employee Suggestion Awards Program is designed to improve Maine State Government by identifying ways to improve operations""","4","Bureau of Human Resources is Maine's central HR agency and posts the program with its full process: submission, eligibility determination, presentation, evaluation and recommendation, final approval, award determination. BHR issues the eligibility and final determination letters."
"Maryland","MD","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","COMAR 17.04.10 Training and Awards, issued by the Department of Budget and Management (Maryland's central HR agency), is the likely artifact for both I1 and I2 but could not be opened in five total attempts across both indicators: regs.maryland.gov HTTP 404, mdrules.elaws.us HTTP 503, dsd.maryland.gov 301-redirect, law.justia.com HTTP 403. DBM budget and about pages mention recognition as culture, not as policy."
"Massachusetts","MA","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","The Human Resources Division runs the Commonwealth Employee Performance Recognition Program and mass.gov hosts guide pages for it, but every mass.gov URL attempted returned HTTP 403 - three separate paths. Search snippets describe the PRP tiers and the Carballo, Cellucci and Rooney awards, but snippet evidence cannot be scored under this protocol."
"Michigan","MI","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","Civil Service Commission is Michigan's central HR authority. Both michigan.gov/mdcs and scprod.michigan.gov/mdcs returned HTTP 403, as did every Civil Service rules and regulations PDF during the I1 pass. Michigan is now COULDNT_CHECK on both indicators for the same reason: the entire michigan.gov domain refused every request."
"Minnesota","MN","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","MMB HR/LR Policy 1420 Employee Recognition and Achievement Awards is named in search results as a statewide policy, but could not be read: the MMB policy index 302-redirected to a ShieldSquare bot-validation host, and the 1420 policy PDF returned undecodable binary. Worth noting alongside Minnesota's I1 NO - the gainsharing statute was repealed in 2025 but a recognition policy may still stand."
"Mississippi","MS","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.mspb.ms.gov/state-agency-resources/employee-awards","Mississippi State Personnel Board - Employee Awards","OFFICIAL","UNDATED","2026-07-31","""Employees with 10, 20, or 30 years may be recognized with a certificate and service pin""","4","State Personnel Board is Mississippi's central HR agency and posts two award programs: Longevity Service Awards and Excellence in Government Awards, the latter with an annual nomination deadline. Backed by Mississippi Administrative Code 27-110 Ch. 7.6 and by Miss. Code 25-9-134, the statute scored for I1."
"Missouri","MO","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://oa.mo.gov/SERW/recognition_ideas","Missouri Office of Administration - State Employee Recognition Week guidance","OFFICIAL","UNDATED","2026-07-31","""Each department may organize and fund their celebrations differently""","4","Office of Administration is Missouri's central HR/administration agency and posts written recognition guidance for departments. CAVEAT: OA's statewide policy index was also opened and lists no numbered recognition policy - this is guidance material, not a formal policy instrument. Scored YES under the same reading applied to Georgia and California in batch 1."
"Montana","MT","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://doa.mt.gov/SHRD/gov-awards","Montana State Human Resources Division - Governor's Award Program","OFFICIAL","UNDATED","2026-07-31","""the Governor's Awards for Excellence in Performance is a statewide program to honor and recognize the exceptional accomplishments of outstanding state employees""","4","State Human Resources Division (Dept. of Administration) posts the program, established 1990, with nomination criteria and deadlines; 2025 recognized 259 employees. Directly relevant to the audit finding that Montana scored lowest in the country on the old D5 at 19.0 - the recognition infrastructure is documented and central."
"Nebraska","NE","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://das.nebraska.gov/personnel/teammate/recognition.html","Nebraska DAS State Personnel - Employee Recognition","OFFICIAL","2025-09-22","2026-07-31","Posts ""Employee Recognition Guidelines for Agencies"" (revised 09/22/2025)","4","DAS State Personnel is Nebraska's central HR agency and posts dated recognition guidelines for agencies; all agencies must have a recognition plan approved by State Personnel. CAVEAT: the guidelines PDF text itself was not read - the page listing and revision date were. Significant against Nebraska's I1 NO: the suggestion statute was repealed by LB1048 in 2026, but recognition guidance remains published."
"Nevada","NV","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://hr.nv.gov/Boards/MeritAward/Merit_Award_Board/","Nevada Division of Human Resource Management - Merit Award Board","OFFICIAL","UNDATED","2026-07-31","""The program was created in 1967 to reward people for money-saving ideas and to recognize efforts and contributions""","4","DHRM is Nevada's central HR agency and hosts the Merit Award Board pages, including a published suggestion matrix. Pairs with NRS Chapter 285, the statutory chapter scored for I1."
"New Hampshire","NH","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","The Division of Personnel page das.nh.gov/hr/employee-suggestion.aspx is titled State Employee Suggestion and Extraordinary Award Program and is clearly the right artifact, but returned HTTP 403. A promising alternative, NH rule Sw 700 EMPLOYEE RECOGNITION PROGRAM, was opened and turned out to be issued by the Lottery Commission for lottery sales representatives - wrong population, correctly rejected as a scope trap."
"New Jersey","NJ","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.law.cornell.edu/regulations/new-jersey/N-J-A-C-4A-6-6-4","N.J.A.C. 4A:6-6.4 - Commendation Awards (Civil Service Commission rule)","OFFICIAL","UNDATED","2026-07-31","""Commendation Awards shall be established in, but not limited to, the following four categories""","1","RESCORED under loosened I2 issuer rule 2026-07-31; previously NO because the CSC current-employees index listed no recognition item and the SERD material is a ceremony program rather than a policy. Administrative rule opened and read: four commendation categories - Heroism, Exceptional Service, Professional Achievement, Community Service - available to individual employees or groups across State service. Companion rule 4A:6-6.5 covers suggestion awards."
"New Mexico","NM","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.srca.nm.gov/parts/title01/01.007.0004.html","1.7.4.18 NMAC - Government Cost Savings Incentive Awards (State Personnel Board rule)","OFFICIAL","UNDATED","2026-07-31","""Agencies may provide cash awards to employees with the approval of the board""","1","RESCORED under loosened I2 issuer rule 2026-07-31; previously NO because the State Personnel Office posts no recognition policy on its own pages. State Personnel Board rule opened and read (same artifact scored for I1), applying statewide to classified employees under authority of NMSA 1978 Section 10-7-12, with cash awards subject to board approval."
"New York","NY","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.cs.ny.gov/esp/","New York Department of Civil Service - Employee Suggestion Program","OFFICIAL","UNDATED","2026-07-31","""Since 1946, the Employee Suggestion Program has adopted over 10,000 suggestions and recognized almost 12,000 employees and retirees""","4","Department of Civil Service is New York's central HR agency and runs the program directly; the Civil Service Commission determines award amounts under 4 NYCRR Part 61, the rule scored for I1. Open to retirees as well as employees. Corroborated by the Comptroller's guidance at osc.ny.gov XIV.5."
"North Carolina","NC","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://oshr.nc.gov/hr-governance/policies/rewards-and-recognition","NC OSHR - Rewards and Recognition policy","OFFICIAL","UNDATED","2026-07-31","""An employee rewards and recognition program serves as an important element in the overall strategic effort to build and sustain a performance culture""","4","Office of State Human Resources posts a formal HR-governance policy plus a separate Service Awards Program Policy and an Employee Recognition benefits section. Strong contrast with the audit finding that NC's old D5 recorded recognition events as not identifiable and assumed zero - the policy is published under HR governance."
"North Dakota","ND","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","OMB Human Resource Management Services is North Dakota's central HR agency and publishes Universal HR Policies, but omb.nd.gov returned HTTP 403. North Dakota is now COULDNT_CHECK on both indicators - for I1 the statute section text was unreachable, for I2 the policy index was."
"Ohio","OH","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://codes.ohio.gov/ohio-administrative-code/rule-123:1-27-04","Ohio Admin. Code 123:1-27-04 - Employee recognition programs (DAS rule)","OFFICIAL","UNDATED","2026-07-31","""The appointing authority of any state agency, office, board, or commission will obtain the approval of the director of administrative services before implementing a program""","4","Rule issued by the Department of Administrative Services, Ohio's central HR agency, governing agency recognition programs and requiring DAS approval. Scored as the DAS-issued written policy instrument. The das.ohio.gov Governor's Award for Employee Excellence page returned HTTP 404 on direct fetch."
"Oklahoma","OK","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://oklahoma.gov/omes/services/omes-employee-information.html","OMES - Employee Information, posting Employee Performance Recognition Awards policy","OFFICIAL","UNDATED","2026-07-31","Posts ""Employee Performance Recognition Awards"" policy and ""Employee Recognition Program"" documents","4","Office of Management and Enterprise Services is Oklahoma's central HR agency (Human Capital Management). Policy OMES-024 caps recognition awards at $150 per employee per fiscal year; OAC 260:25-23-3 sets the statewide rule. CAVEAT: the policy PDFs themselves were not opened - the OMES page listing them was. The OMES policies index URL returned HTTP 404."
"Oregon","OR","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.oregon.gov/das/hr/pages/serd.aspx","Oregon DAS Chief Human Resources Office - State Employee Recognition Day","OFFICIAL","UNDATED","2026-07-31","""Every year we celebrate Public Service Recognition Week ... taking the opportunity to thank public employees for their service""","4","Chief Human Resources Office (DAS) is Oregon's central HR agency and publishes the recognition program including annual Public Service Ambassador rosters since 2017. Consistent with Oregon's I1 statute, ORS 182.320."
"Pennsylvania","PA","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","Management Directive 505.23 Employee Recognition Programs is the correct artifact, issued by the Governor's Office and administered by the Office of Administration, and its existence is well attested - but its text could not be read in five attempts across both indicators: two pa.gov PDF paths returned undecodable binary, oa.pa.gov 301-redirected to a pa.gov search page with no results, and the PA HR policies page lists no awards item."
"Rhode Island","RI","I2","Does the central HR/administration agency post a written recognition policy?","15","NO","0","https://hr.ri.gov/policies/","Rhode Island Division of Human Resources - Policies and Rules","OFFICIAL","UNDATED","2026-07-31","No policy on employee recognition, awards or suggestions appears in the policies index","4","Re-examined under loosened I2 issuer rule 2026-07-31 and unchanged. Searched for a non-HR state issuer: R.I. Gen. Laws 36-4-62 directs the personnel administrator to make implementing rules, but no such rule was located; the RI Personnel Rules index at hr.ri.gov/stateemployee/rules was also opened and contains no recognition, awards, incentive or suggestion item. Talent Management is described as administering a Career Awards Program but publishes no policy document. Statute alone does not satisfy I2."
"South Carolina","SC","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.admin.sc.gov/services/state-human-resources/talent-management/employee-reward-recognition","SC Department of Administration, Division of State Human Resources - Employee Reward and Recognition","OFFICIAL","UNDATED","2026-07-31","""There is a $50 limit on the amount that can be spent on each employee per award""","4","Division of State HR posts written reward and recognition guidance citing S.C. Code 8-1-180 and 8-11-190, IRS treatment of cash and gift-certificate awards, and state service pin administration. Note this page states the $50 per-employee cap that the statute text opened for I1 did not contain - the cap is a policy-level rule."
"South Dakota","SD","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","Bureau of Human Resources posts a Governor's Awards of Excellence program page, but bhr.sd.gov 302-redirects to sd.gov/bhra, which returned only navigation and loading elements on two attempts including the knowledge-base article URL. South Dakota is COULDNT_CHECK on both indicators; its statute site is JavaScript-gated and its HR site renders client-side."
"Tennessee","TN","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.tn.gov/hr/employees.html","Tennessee Department of Human Resources - For Employees","OFFICIAL","UNDATED","2026-07-31","Lists ""Employee Suggestion Award Program"" for state employees","4","Department of Human Resources is Tennessee's central HR agency and posts the Employee Suggestion Award Program, operated under DOHR rules 1120-09 with a board meeting quarterly. Two earlier fetches to tn.gov returned ECONNRESET before this one succeeded. Pairs with Tenn. Code Ann. 4-27-101 (I1 YES)."
"Texas","TX","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","The State Employee Incentive Program is administered by the Governor's office rather than by a central HR agency - Texas has no single central HR department, with the State Auditor's Office maintaining the statewide compensation system. No SEIP program page on a state site could be opened; search returned only a 1998 Sunset report and a university copy of SEIP materials. Recorded COULDNT_CHECK rather than NO because the right agency to check is itself unclear."
"Utah","UT","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.law.cornell.edu/regulations/utah/Utah-Admin-Code-R477-6-7","Utah Admin. Code R477-6-7 - Incentive Awards (DHRM rule)","OFFICIAL","UNDATED","2026-07-31","""Only agencies with written and published incentive award and bonus policies may reward employees with incentive awards or bonuses""","4","Rule enforced by the Department of Human Resource Management, Utah's central HR agency, and it requires agency policies to be approved annually by DHRM. Same artifact scored for I1; read from the Cornell LII mirror because dhrm.utah.gov copies were not reachable."
"Vermont","VT","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","Vermont DHR Personnel Policy 7.1 EMPLOYEE RECOGNITION AND MERIT BONUS AWARDS is named in search results with a direct PDF path on humanresources.vermont.gov, but every Vermont DHR URL returned HTTP 403 across both indicators - the merit-awards page, the policy manual index, the policy PDF itself and the AOA recognition page. Vermont is COULDNT_CHECK on both indicators for the same host-level block."
"Virginia","VA","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://www.dhrm.virginia.gov/hr-partners/employee-service-and-recognition","Virginia DHRM - Employee Service and Recognition","OFFICIAL","2019","2026-07-31","""The agencies of the Commonwealth carry out programs to celebrate milestones in their employees' length of service""","4","Department of Human Resource Management posts both an Employee Recognition Policy in its HR Policies section and a 2019 Employee Recognition Handbook. Consistent with Va. Code 2.2-1201(A)(15), which obliges DHRM to adopt a centralized awards program - statute, policy and handbook all present, one of the most complete chains in the set."
"Washington","WA","I2","Does the central HR/administration agency post a written recognition policy?","15","YES","15","https://app.leg.wa.gov/wac/default.aspx?cite=383-06&full=true","WAC Chapter 383-06 - Guidelines for the employee suggestion program (Productivity Board)","OFFICIAL","UNDATED","2026-07-31","""guidelines for the statewide employee suggestion program developed and administered by the productivity board""","1","RESCORED under loosened I2 issuer rule 2026-07-31; previously NO because the program sits with the Productivity Board chaired by the Secretary of State, not with OFM, the central HR agency. Administrative rule opened and read: adopted by the Productivity Board under chapter 41.60 RCW, governs the statewide employee suggestion program and agency-unique programs, board sets award criteria and makes final award determinations. sos.wa.gov program pages returned HTTP 403 on three attempts; the WAC is the readable artifact."
"Washington DC","DC","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","District Personnel Manual Chapter 19 Incentive Awards, maintained by DCHR, is the correct artifact and search returns detailed content from it, but edpm.dc.gov returned HTTP 520 on three attempts across both indicators, dcrules.elaws.us returned HTTP 503 twice, and the DCHR issuance PDF returned undecodable binary. DC is COULDNT_CHECK on both indicators."
"West Virginia","WV","I2","Does the central HR/administration agency post a written recognition policy?","15","NO","0","https://www.law.cornell.edu/regulations/west-virginia/agency-147/title-147/series-147-01","W. Va. Code R. 147-01 - Rules Governing the Operation of the WV Public Employee Suggestion Program","OFFICIAL","2009-07-04","2026-07-31","""Rules Governing The Operation Of The West Virgnia Public Employee Suggestion Program"" - shown effective 7/4/2009","1","Re-examined under loosened I2 issuer rule 2026-07-31 and unchanged, but CONFIRMED rather than assumed and the picture is more complicated than expected. An Employee Suggestion Award Board rule does exist and was opened: W. Va. Code R. 147-01, effective 7/4/2009, covering eligible and ineligible employees, suggestion processing and annual reporting. It is NOT scored YES because the mirror states it is current only through Register Vol. XLI No. 13, March 29, 2024 - which predates the 2025 repeal of the enabling statute W. Va. Code 5A-1A-1 by SB738 - so the source does not establish a currently effective rule. Corroborating: the board has posted no meeting since September 2021 and the Division of Personnel policy index has no recognition item. Flag for review: if the rule survived the statutory repeal, West Virginia becomes YES."
"Wisconsin","WI","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","4","Division of Personnel Management publishes Wisconsin Human Resources Handbook Chapter 550 on discretionary merit compensation and an Employee Suggestion Program evaluation form (DOA-15801), but the Chapter 550 PDF returned undecodable binary and the suggestion-program page path returned HTTP 404. Wisconsin has clear statutory authority (Wis. Stat. 230.48, I1 YES); the policy artifact could not be read."
"Wyoming","WY","I2","Does the central HR/administration agency post a written recognition policy?","15","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","RESCORED under loosened I2 issuer rule 2026-07-31; previously NO because the A and I Human Resources Division policy index contains no recognition policy. The loosened rule brings two located artifacts into scope - State Personnel Rules Chapter 10 Service and Recognition Awards (effective 01-28-2015, listed by title on ai.wyo.gov) and the Wyoming Administrative Code rules of agency 006 sub-agency 0005 Personnel-Suggestion Award Board - but neither text could be opened: regulations.justia.com HTTP 403, law.cornell.edu served a directory index, and rules.wyo.gov is JavaScript-gated. Titles alone are not proof of content."
"Alabama","AL","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://www.personnel.alabama.gov/Employees","Alabama Employees' Suggestion Incentive Program (ESIP) - State Personnel Department","OFFICIAL","UNDATED","2026-07-31","Posts ""ESIP Guide"" and ""ESIP Printable Form"" for the Employees' Suggestion Incentive Program","4","Named statewide program (ESIP) covering all merit and non-merit state employees, run by the State Personnel Department with a standing board and $1,000/$5,000 award tiers. Page opened; the guide PDF itself remains unreadable binary."
"Alaska","AK","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://doa.alaska.gov/dop/denaliawards/procedures/","Denali Awards - Alaska Division of Personnel","OFFICIAL","UNDATED","2026-07-31","""Nominations must be submitted for review and signature through the nominated employee's chain of command""","4","Named statewide program (Denali Awards) with published award procedures, run by the Division of Personnel. Nominations route through the employing department and the Governor's Office chief of staff for Governor's Office nominees."
"Arizona","AZ","I3","Is there a named statewide employee award program with a public web page?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","Two candidates and neither could be verified. Gov. Hobbs' Excellence in Government Awards, first held January 2025, appears from search text to recognize AGENCIES and PROGRAMS rather than individual employees - a possible wrong-population trap - and the only page describing it (des.az.gov) returned HTTP 403. All hr.az.gov and doa.az.gov pages returned HTTP 403 as they did for I2. Arizona is now COULDNT_CHECK on I1, I2 and I3, entirely because the az.gov domain refuses every request."
"Arkansas","AR","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://sas.arkansas.gov/personnel/resources/policy/","Arkansas Office of Personnel Management - Employee Suggestion System and Service Recognition Program","OFFICIAL","UNDATED","2026-07-31","""16 - Employee Suggestion System""; ""33 - Service Recognition Program""","4","Two named statewide programs published by the Office of Personnel Management, plus Career Service Recognition Payments (policy 23). The public page is the numbered statewide policy index rather than a dedicated program microsite."
"California","CA","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://benefits.calhr.ca.gov/state-employees/engagement-resources/merit-award-program/","Merit Award Program (MAP) - CalHR","OFFICIAL","UNDATED","2026-07-31","""Each department has a Merit Award Administrator assigned to administer the program""","4","Named statewide program established by the Legislature in 1950, open to all state entities, comprising the Employee Suggestion Program, Superior/Sustained Accomplishment awards, the Governor's State Employee Medal of Valor, 25-Year Service awards and the Robert L. Negri award."
"Colorado","CO","I3","Is there a named statewide employee award program with a public web page?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","The Tom Clements Better Government Award is a named statewide program for Colorado state employees - three categories including Outstanding Service in Government, Outstanding Innovation in Government and Inspirational Leadership in Government, nominated through departments and judged by an external panel - but no page could be opened: governorsoffice.colorado.gov and colorado.gov/governor both returned HTTP 403, as did two news copies of the state press release. Well attested in search text, never read."
"Connecticut","CT","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://portal.ct.gov/MAC/MAC-Organizational-Information/Managers-Day/2020-Distinguished-Managerial-Service-Award","Distinguished Managerial Service Award - CT Management Advisory Council","OFFICIAL","2020","2026-07-31","""Each nominee has demonstrated an exceptional level of dedication, commitment, managerial skill and achievement""","1","Named program running across all state agencies with public recipient pages spanning 2008-2020, administered by the Management Advisory Council, a state body. CAVEAT: eligibility is restricted to MANAGERS rather than the whole workforce. Scored YES because managers are career state employees and the program is statewide, but it is narrower than every other YES in this indicator - flag if you want I3 to require whole-workforce eligibility."
"Delaware","DE","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://dhr.delaware.gov/policies/recognition-awards.shtml","Delaware Award for Excellence and Commitment in State Service - Department of Human Resources","OFFICIAL","UNDATED","2026-07-31","Lists the ""Delaware Award for Excellence & Commitment in State Service Nomination Form"", ""Delaware Award for Heroism"", ""GEAR P3 Trailblazer Award"" and ""Governor's Team Excellence Award""","4","Four named statewide awards on one DHR page, presented by the Governor at the annual Statewide Recognition Awards Ceremony. Delaware is one of very few states with YES on all three indicators so far."
"Florida","FL","I3","Is there a named statewide employee award program with a public web page?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","Florida's named program is the Prudential Productivity Awards, formerly the Davis Productivity Awards, which honors state employees for cost savings since 1989 - but it is founded and sponsored by Florida TaxWatch, a PRIVATE non-profit, with the state as co-sponsor, so a TaxWatch page would fail the wrong-issuer trap. The state's own copy at dms.myflorida.com/workforce_operations/people_first/davis_productivity_awards returned navigation-only markup, as did two other DMS pages - the site renders body content via JavaScript. No state-issued page could be read."
"Georgia","GA","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://team.georgia.gov/service-awards/","Faithful Service Awards Program - Department of Administrative Services","OFFICIAL","UNDATED","2026-07-31","""The Faithful Service Awards Program was established by the Georgia General Assembly to help attract and retain employees""","4","Named statewide program established by the General Assembly and administered by DOAS, recognizing roughly 13,000 employees a year from five years of service in five-year increments, with agency HR offices distributing certificates and pins monthly."
"Hawaii","HI","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://dhrd.hawaii.gov/state-employees/employee-benefits/incentive-and-service-awards-program/","State Incentive and Service Awards Program - DHRD","OFFICIAL","UNDATED","2026-07-31","""a statewide program that promotes the recognition of employees who contribute to the efficiency, economy or other improvement of government operations""","4","Named statewide program established by HRS 78-29 and posted by the Department of Human Resources Development, covering suggestions, meritorious acts and service awards at 10/20/30/40/50 years."
"Idaho","ID","I3","Is there a named statewide employee award program with a public web page?","20","NO","0","https://dhr.idaho.gov/statutes-rules-and-policies/","Idaho Division of Human Resources - Statutes, Rules and Policies (no named award program listed)","OFFICIAL","UNDATED","2026-07-31","No named statewide employee award program appears among DHR's listed policies or programs","1","Searched DHR, the Governor's office and employee.idaho.gov. Idaho publishes a 2024 State of Idaho Employee Recognition Toolkit and observes Public Employee Recognition Week, but a toolkit and an observance are not a named award program. The suggestion-award mechanism exists in statute (67-5309D) and rule (IDAPA 15.04.01.075) without a program identity or program page. Governor's awards found in Idaho are sector-specific (arts, agriculture, energy, education), not employee awards."
"Illinois","IL","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://gov.illinois.gov/sgsab.html","State Government Suggestion Award Board - Office of the Governor","OFFICIAL","UNDATED","2026-07-31","""The Governor wants to hear from state employees who have ideas that will make our government more efficient and effective""","1","Named statewide board and award program with a public page on the Governor's site; awards from $500 to $5,000 by savings band, certificate of merit for smaller savings, management personnel recognition-only. Same page scored for I2 after the issuer rule was loosened."
"Indiana","IN","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://secure.in.gov/spd/employee-resources/state-employee-programs/","Governor's Public Service Achievement Awards - State Personnel Department","OFFICIAL","UNDATED","2026-07-31","""The Governor's Public Service Achievement Awards recognize State of Indiana employees and teams""","4","Named statewide program with a public SPD page, plus the Governor's Long Term Employee Reception recognizing 35+ years of service in five-year increments since 2005. Indiana remains COULDNT_CHECK on I1 only because no statute text could be opened."
"Iowa","IA","I3","Is there a named statewide employee award program with a public web page?","20","NO","0","https://das.iowa.gov/state-policies","Iowa DAS - State Employee Handbook and Policies (no named award program)","OFFICIAL","UNDATED","2026-07-31","No named statewide employee award program appears in DAS policies or programs","1","Searched DAS and the Governor's office. Iowa's governor-level award programs are the Environmental Excellence Awards, Volunteer Awards and Sullivan Brothers/Lifesaving Awards - none is a general state-employee award. The statutory suggestion system (Iowa Code 8A.110) has no program identity or public program page. Iowa is now NO on both I2 and I3 despite a strong I1 statute."
"Kansas","KS","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://admin.ks.gov/offices/personnel-services/policy--programs/award-and-recognition","State of Kansas Employee Award and Recognition Program - Department of Administration","OFFICIAL","UNDATED","2026-07-31","""The program provides an employee award and recognition system authorized by K.S.A. 75-37,105""","4","Named statewide program with its own page and downloadable program overview and policy, plus a separate Employee Suggestion Program page. Award categories include Distinguished Accomplishment, Meritorious Service and Innovation; $3,500 annual cap per employee."
"Kentucky","KY","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://extranet.personnel.ky.gov/Pages/Rewards.aspx","Kentucky Employee Suggestion System (KESS) - Personnel Cabinet","OFFICIAL","UNDATED","2026-07-31","""the Kentucky Employee Suggestion System (KESS) provides monetary incentives to those who share ideas""","4","Named statewide program with a public Personnel Cabinet page; cash awards $100-$2,500, submitted through KHRIS ESS. Kentucky also runs Employee Recognition Award lump sums and ACE awards."
"Louisiana","LA","I3","Is there a named statewide employee award program with a public web page?","20","NO","0","https://www.civilservice.louisiana.gov/StateEmployees/Dunbar/default.aspx","Charles E. Dunbar, Jr. Career Civil Service Award - conferred by the Louisiana Civil Service League (private)","OFFICIAL","UNDATED","2026-07-31","""The highest honor classified state employees can receive"" - but conferred by the Louisiana Civil Service League, a private non-profit","1","WRONG-ISSUER TRAP CAUGHT. The Dunbar Award is the obvious candidate and State Civil Service hosts a page about it, but the page states the award is conferred by the Louisiana Civil Service League, a private non-profit, and is open to local and municipal as well as state employees. Both facts fail the scope traps. Louisiana's state-run instruments are Civil Service Rule 6.16.1 and DOA Policy 33 (scored for I1/I2), which authorize agency programs rather than constituting a named statewide award program."
"Maine","ME","I3","Is there a named statewide employee award program with a public web page?","20","YES","20","https://www.maine.gov/bhr/state-employees/employee-suggestion-program","Employee Suggestion Awards Program - Bureau of Human Resources","OFFICIAL","UNDATED","2026-07-31","""The Employee Suggestion Awards Program is designed to improve Maine State Government by identifying ways to improve operations""","4","Named statewide program with a public BHR page setting out six process phases and an Employee Suggestion Award Program Review Board. Backed by 5 M.R.S. 651."
"Maryland","MD","I3","Is there a named statewide employee award program with a public web page?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","No named statewide program could be identified or opened. Searches of DBM surfaced only budget and about-page language treating recognition as workplace culture, plus a Maryland Open Data dataset titled Recognition Given to Employees. COMAR 17.04.10 Training and Awards remains unreadable across all three indicators (regs.maryland.gov 404, mdrules.elaws.us 503, justia 403). Maryland is COULDNT_CHECK on I1, I2 and I3."
"Massachusetts","MA","I3","Is there a named statewide employee award program with a public web page?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","Massachusetts plainly has a named statewide program - the Commonwealth Employee Performance Recognition Program (PRP), run by HRD, whose major awards are the Manuel Carballo Governor's Award for Excellence in Public Service, the Governor Paul Cellucci Award for Leadership and Mentoring, and the Eugene H. Rooney Jr. Public Service Award - but every mass.gov URL attempted across I2 and I3 returned HTTP 403, five paths in total. Named and well attested in search text; never read."
