jurisdiction,pd_function_count,pd_function_names,cpm_status,cpm_present,certificate_programs,certificate_present,pd_points,digital_states_grade,digital_states_points,dimension4_score,psai_contribution,pd_source_urls,source_publication_dates,verified,notes
New Jersey,1,Center for Learning and Improving Performance (CLIP) — NJ Civil Service Commission statewide training division,Accredited + established,yes,Certified Public Works Manager (CPWM) Program (Rutgers Center for Government Services),yes,74,B+,88,81,12.15,https://nj.gov/csc/training/; https://cgs.rutgers.edu/programs/public-works,undated; undated,yes,"Found one official statewide PD function: NJ Civil Service Commission's Center for Learning and Improving Performance (CLIP), confirmed on nj.gov/csc/training/ as responsible for planning/delivery of training for state employees (page undated). Excluded the NJ CPM Program (Rutgers SPAA/CSC) per instructions since it is the National CPM Consortium program scored separately. Found one non-CPM certificate program: Certified Public Works Manager (CPWM) Program via Rutgers Center for Government Services, for municipal/county public works personnel (page undated, copyright 2026 only). Considered Rutgers Executive Education's ""Certificate in Leadership Essentials"" but excluded it — it is general/corporate leadership training, not specific to public managers, and not primary-sourced as a government program (content dated ~2022, no clear last-updated date)."
New Mexico,1,State Personnel Office (SPO) Learning and Development Bureau,Accredited + established,yes,NM EDGE Certified Public Official (New Mexico State University (NM EDGE)); NM EDGE Certified Public Supervisor (New Mexico State University (NM EDGE)); NM EDGE Certified Human Resource Professional Program (New Mexico State University (NM EDGE) / referenced on NM SPO Learning and Development page),yes,74,C,73,73.5,11.025,https://www.spo.state.nm.us/learning-development/; https://nmedge.nmsu.edu/certifications/public-official.html; https://nmedge.nmsu.edu/programs/certification.html; https://www.spo.state.nm.us/learning-development/,2025-10-24; 2024; undated; 2025-10-24,yes,"Found: (1) NM State Personnel Office's official ""Learning and Development Bureau"" (state .gov, spo.state.nm.us) — confirmed statewide PD function, verified on official source dated to its Oct 2025 course catalog. (2) Aggie Leadership Training Academy (ALTA) at NMSU — an employee leadership program, but it is university-internal-staff-only (not a statewide public-sector program) and only found on an nmsu.edu training subdomain, not confirmed as an official statewide state-government function, so official_state_gov=false and verified=false (included for completeness, not counted). Non-CPM certificate programs from NM EDGE (NMSU, a public university) confirmed on the official nmedge.nmsu.edu certification page: NM Certified Public Official and NM Certified Public Supervisor (both distinct from, and precursors to, the National CPM Consortium-accredited NM Certified Public Manager, which is excluded here as it is scored separately). Also found NM EDGE Certified Human Resource Professional Program referenced on the SPO Learning and Development page. Numerous other NM EDGE specialty certifications (County Clerk, GIS Specialist, Public Finance Professional, etc.) exist but are narrow/role-specific rather than general public-manager credentials and were not included as primary items."
New York,2,Statewide Learning and Development (Office of Employee Relations); Statewide Learning Management System (SLMS),No program,no,"Public Administration & Policy Certificate Program in Public Sector Management (University at Albany, SUNY (Rockefeller College))",yes,77,B,83,80,12,https://oer.ny.gov/statewide-learning-and-development; https://oer.ny.gov/training-and-professional-development; https://www.albany.edu/graduate-bulletin/public-admin-policy-certificate-program-public.php,undated; undated; undated,yes,"Confirmed on official NY state gov (oer.ny.gov): (1) ""Statewide Learning and Development"" — the Office of Employee Relations' central training division offering mandated, on-demand, and classroom training for state employees; (2) ""Statewide Learning Management System (SLMS)"" — the statewide LMS platform for registering/tracking employee training, named on the same OER training page. Both pages are undated (no last-updated timestamp shown). Found but NOT counted as verified: ""Aspiring Leaders Course"" — a 3-day leadership program run by the NYS & CSEA Partnership for Education and Training (a joint labor-management partnership, not a purely state .gov page), described as helping build leadership skills for NYS government careers; site shows 2026 session dates but no page-level publication date, and the org is not itself a state agency, so official_state_gov=false and verified=false (included for completeness only, not to be counted). Certificate program: University at Albany (SUNY) Rockefeller College's ""Public Administration & Policy Certificate Program in Public Sector Management"" — a 5-course graduate certificate for public-sector managers/professionals, confirmed on the official UAlbany graduate bulletin page (undated). Excluded from both lists: generic HR/benefits/EAP pages, union-specific (CSEA/PEF/GSEU/NYSCOPBA/PBANYS/Council 82) benefit programs, the OSC ""Academy for New York State's Local Officials"" (targets local government officials, not statewide state employees), and the National CPM Consortium program (scored separately per rules)."
North Carolina,3,OSHR Learning and Development (L&D) Division; Advanced Skills for Managers (ASM); Human Resources Professional Development (HRPD) Program,Accredited + established,yes,"MPA Public & Nonprofit Management Academy, Professional Certificate (UNC Charlotte)",yes,100,A,100,100,15,https://oshr.nc.gov/state-employee-resources/learning-and-development; https://oshr.nc.gov/state-employee-resources/learning-and-development/advanced-skills-managers-asm; https://oshr.nc.gov/state-employee-resources/learning-and-development/human-resources-professional-development-hrpd-program; https://academics.charlotte.edu/program/mpa-public-nonprofit-management-academy-professional-certificate-online/,undated; undated; undated; undated,yes,"Found on official NC OSHR (oshr.nc.gov) pages: the Learning and Development (L&D) Division (central statewide training division), the Advanced Skills for Managers (ASM) leadership development program, and the Human Resources Professional Development (HRPD) certificate program for HR staff — all confirmed on re-fetched official state .gov pages, none dated. Excluded the NC Certified Public Manager Program (scored separately as the National CPM Consortium program). Non-CPM certificate programs found: UNC Charlotte's MPA Public & Nonprofit Management Academy Professional Certificate (confirmed on official charlotte.edu program page, undated); NC State University's Leadership in the Public Sector undergraduate certificate and Nonprofit Management graduate certificate (found via NCSU catalog search results but not directly re-fetched/confirmed, so verified=false); NC Central University's Non-profit Management Certificate (found via search result only, not directly re-fetched, verified=false). No pub/last-updated dates were found on any of these pages."
North Dakota,1,Talent Management and Development team (OMB Human Resource Management Services) — statewide Learning and Development function,No program,no,Public Administration Graduate Certificate (University of North Dakota),yes,62,B+,88,75,11.25,https://www.omb.nd.gov/about-omb/staff-and-organizational-chart; https://und.edu/programs/public-administration-certificate/index.html,undated; undated,yes,"North Dakota: found ONE dedicated statewide PD function confirmed on an official state.gov page — the 'Talent Management and Development' team within OMB's Human Resource Management Services (OMB org chart page names a 'Learning and Development Manager' and 'Learning Solutions Architect'; contact hrmstraining@nd.gov; this team is described elsewhere as the hub for statewide learning/development strategy and maintains the statewide ELM Employee Learning Management system, though that description itself was not found on a re-opened primary page, so it is omitted from the verified claim). No dedicated 'leadership academy' by that name was found on an official state.gov page (a public omb.nd.gov training page has moved to an internal intranet, not machine-fetchable/public). Excluded as non-statewide/non-state-government: North Dakota League of Cities' Municipal Government Academy and Leadership Training Program (municipal association, not state government); Leadership North Dakota (nonprofit program hosted via University of Mary Online, not a state or public-university PD function in the required sense); NDSU Extension leadership programs (agricultural/civic, not for public managers). One certificate program found: University of North Dakota's Public Administration Graduate Certificate (public university, structured completion credential for public/nonprofit-sector managers), confirmed on UND's own program page; no explicit last-updated date on the page (only a site copyright year), so pub_date recorded as 'undated'. CPM Consortium program excluded per instructions (scored separately)."
Ohio,0,,Program exists,no,Graduate Certificate in Public Management (The Ohio State University — John Glenn College of Public Affairs),yes,7,A,100,53.5,8.025,https://glenn.osu.edu/graduate-programs/graduate-certificates/public-management-certificate,2026,yes,"Ohio findings: (1) PD FUNCTION — Ohio DAS 'Learning and Talent Development' (LTD) division, described via search results as having four areas (Professional Development, Leadership Development, Performance Management, Technology Management); the official das.ohio.gov page could not be directly re-fetched (returned 404 to the fetch tool, likely JS-rendered/blocked), so it is recorded as official_state_gov=true (state agency page identified via search) but verified=false since the primary page itself could not be re-opened and its exact program names literally confirmed. No last-updated date available. A separately found 'LEAD Ohio' / LEADOhio.org leadership training program is NOT a state government entity (independent nonprofit, leadohio.org, not .gov) and was excluded. The Ohio University 'OCPM Leadership Academy' and Cleveland State 'Public Management Academy' are components of the National CPM Consortium-accredited OCPM program and were excluded per instructions (CPM is scored separately). (2) CERTIFICATE PROGRAMS — Ohio State University John Glenn College of Public Affairs offers a 'Graduate Certificate in Public Management' (verified via direct fetch of glenn.osu.edu page, confirms program name and public-sector management focus; page shows copyright 2026, no specific last-updated date beyond that). Related OSU Online graduate certificates in Nonprofit Management and Federal Policy and Management were found via search but not directly re-fetched/confirmed, so marked unverified. The John Glenn 'Public Leadership Academy for Elected Officials' was excluded — it targets elected officials, not employees/managers, and is not a completion-credential certificate program."
Oklahoma,2,Statewide Learning Services (SLS) / OMES Learning and Development; Governor's Executive Development Program for State Officials,Accredited + established,yes,,no,82,B+,88,85,12.75,https://oklahoma.gov/omes/divisions/human-capital-management/learning-and-development.html; https://oklahoma.gov/content/dam/ok/en/omes/documents/ExecDevolpment.pdf,2025-09-23; undated,yes,"Confirmed on official Oklahoma OMES (Office of Management and Enterprise Services) pages: (1) Statewide Learning Services / OMES Learning and Development division (oklahoma.gov/omes, last modified 2025-09-23) — the state's central training/L&D division, offering Mandatory Supervisory Training, LinkedIn Learning, eLearning, etc. (2) Governor's Executive Development Program for State Officials, a recurring (16th Annual per fetched PDF) leadership-development program run jointly by OMES Human Capital Management, Oklahoma State University, and University of Oklahoma for top-level state officials; PDF had no visible publication date so pub_date is 'undated,' though a companion PDF exists for the '15th Annual' program (2020). The Certified Public Manager Program page on OMES (oklahoma.gov, last modified 2026-02-02) is EXCLUDED here per instructions since it is the National CPM Consortium program scored separately elsewhere, and no other non-CPM certificate program for public managers was found on official state or public-university sources (only general/private programs like Leadership Oklahoma, Leadership Exchange Academy via State Chamber Research Foundation, OSU Leadership Institute general leadership programs, and OCU professional-education leadership programs were found, none of which are official state government sources or explicitly public-manager completion certificates confirmed on a primary .gov page, so certificate_programs is empty)."
Oregon,2,"Leadership Oregon; Management Education Program (Foundational Training Program, Emerging Manager, New to Public Management)",Program exists,no,"Graduate Certificate in Nonprofit and Public Management (Portland State University, Mark O. Hatfield School of Government)",yes,77,B+,88,82.5,12.375,https://www.oregon.gov/das/hr/pages/lo.aspx; https://www.oregon.gov/das/hr/pages/mds.aspx; https://www.pdx.edu/public-administration/graduate-certificate-nonprofit-and-public-management,undated; undated; undated,yes,"Oregon official DAS/CHRO sources confirm: (1) Leadership Oregon — statewide executive leadership development program for state managers, established 1989, run by DAS Director's Office (oregon.gov/das/hr/pages/lo.aspx, undated page, 2026 cohort dates referenced). (2) Management Education program with named tracks: Foundational Training Program, Emerging Manager, New to Public Management (oregon.gov/das/hr/pages/mds.aspx, undated) — training courses, not a completion certificate. (3) HR Professional Training Programs (Essentials of HR, Functions of HR, HR Investigations) on oregon.gov/das/hr/pages/hrpt.aspx (undated) — HR-specific, not general management PD, so marked verified=false/lower confidence for counting as a general PD function (included for auditability but likely excludes per HR-specific scope; reviewer should confirm inclusion). Generic DAS training page (oregon.gov/das/pages/training.aspx) named no specific program, so not listed separately. Non-CPM certificate program found: Portland State University's Graduate Certificate in Nonprofit and Public Management (Hatfield School of Government), a 21-credit structured completion credential for public/nonprofit managers; direct WebFetch of the PSU page returned HTTP 403, so confirmation rests on PSU's own search-indexed page content/snippet rather than a re-opened live fetch — treat as corroborated rather than fully re-fetched. No Oregon state-run (non-CPM) certified-manager credential program was found."
Pennsylvania,3,Commonwealth University (CU) — statewide employee training program administered via My Learning/ESS; OA-Talent Development (Office of Administration); Governor's Center for Local Government Services (GCLGS) — Basic Local Government Training Series / Local Government Training Partnership,Accredited + established,yes,"Public Administration Certificate Program (18-credit, non-CPM) (Point Park University)",yes,100,B+,88,94,14.1,https://www.pa.gov/agencies/hrmoa/programs/training-development/training; https://www.pa.gov/agencies/hrmoa/programs/training-development/training; https://dced.pa.gov/local-government/training/; https://www.pointpark.edu/academics/schools/business/departmentofcommunityengagement/public-administration,undated; undated; 2026; undated,yes,"Pennsylvania statewide PD functions confirmed on official pa.gov sources: (1) Commonwealth University (CU) — the Commonwealth's central instructor-led training program delivered via My Learning in ESS, per the OA/HR training page; (2) OA-Talent Development, the OA unit supporting employee training/development and adjunct instructor recruitment (same page, contact 717.787.3813); (3) Governor's Center for Local Government Services (GCLGS), which runs the 2026–2027 Basic Local Government Training Series and the Local Government Training Partnership for municipal officials (dced.pa.gov) — included as a dedicated standing state training function, though it targets local (not state) officials, so its applicability to the 'statewide PD function' definition is borderline and flagged for reviewer judgment. Excluded: generic HR/benefits pages, PA Construction Codes Academy and Qualified Tax Collector program (compliance/certification-specific, not general manager PD), Governor's Awards for Excellence (recognition, not training). Certificate programs (non-CPM only; PA's actual CPM is run by Millersville University and is excluded here as it is scored separately under the National CPM Consortium metric): Point Park University's 18-credit Public Administration Certificate Program (verified on primary program page, no date shown). West Chester University's MPA concentration certificates are mentioned in search results as available as stand-alone certificates but I could not independently re-confirm exact certificate naming on the primary WCU page within this session, so verified=false. No dated (2022-2026) publication timestamps were found on any of the fetched official pages; all pub_date values are 'undated' except the GCLGS page which explicitly cites the 2026-2027 program cycle."
Rhode Island,2,"Office of Learning and Development (Division of Human Resources); Learning and Development Academies (Leadership Academy, Manager Academy, Communication Academy, Customer Service Academy, Government Innovation Academy, Coalition Building Academy)",No program,no,Public Management Certificate (URI MPA Program) (University of Rhode Island); Public Administration and Policy Professional Certificate (URI MPA Program) (University of Rhode Island),yes,77,B+,88,82.5,12.375,https://hr.ri.gov/learning/; https://hr.ri.gov/learning/academies/; https://web.uri.edu/online/programs/graduate/master-of-public-administration/mpa-certificates/; https://web.uri.edu/online/programs/graduate/master-of-public-administration/mpa-certificates/,undated; undated; undated; undated,yes,"Rhode Island: Confirmed on hr.ri.gov (Division of Human Resources) - (1) Office of Learning and Development, the central state training/PD office, and (2) its Learning and Development Academies page naming six academies (Leadership, Manager, Communication, Customer Service, Government Innovation, Coalition Building). These are treated as one dedicated statewide PD function (the office) plus its academy suite, counted together as the state's central PD infrastructure - not duplicated as separate line items beyond the two entries listed. Excluded: mandatory compliance trainings (cybersecurity, sexual harassment) and generic HR/careers pages per instructions. Non-CPM certificate programs found at University of Rhode Island (public university) via its MPA program: Public Management Certificate and Public Administration and Policy Professional Certificate, both 12-credit stackable graduate certificates confirmed on the official URI Online MPA certificates page. No page examined (hr.ri.gov/learning, hr.ri.gov/learning/academies, web.uri.edu MPA certificates) displayed an explicit publication/last-updated date, so pub_date is set to ""undated"" for all items; the academies page references ""Spring 2018"" content but has no formal date stamp, and URI page only shows a generic copyright year (2026)."
South Carolina,2,Learning and Organizational Development (SC Department of Administration); South Carolina Executive Institute,Accredited + established,yes,Associate Public Manager (APM) Program (SC Department of Administration); Human Resources Professional Development (HRPD) Program (SC Department of Administration); LeadSC Program (SC Department of Administration); Public Professional Development (PPD) Program (SC Department of Administration),yes,89,A-,92,90.5,13.575,https://admin.sc.gov/services/training; https://www.admin.sc.gov/services/training/south-carolina-executive-institute; https://www.admin.sc.gov/services/training/certifications; https://www.admin.sc.gov/services/training/certifications; https://www.admin.sc.gov/services/training/certifications; https://www.admin.sc.gov/services/training/certifications,undated; undated; undated; undated; undated; undated,yes,"South Carolina PD functions: (1) Learning and Organizational Development — the SC Dept. of Administration's central training division (contact team named on admin.sc.gov/services/training). (2) South Carolina Executive Institute — a structured executive-leadership development program (6 sessions over 7 months, capped at 30 participants) run by the Dept. of Administration, functioning as the state's leadership-academy equivalent. Non-CPM certificate/completion programs found on admin.sc.gov/services/training/certifications (all run by SC Dept. of Administration, Division of State Human Resources, distinct from the National-CPM-Consortium-accredited CPM program which is excluded per instructions): Associate Public Manager (APM) Program (incl. cohort variant), Human Resources Professional Development (HRPD) Program, LeadSC Program (Immerse/Invest tracks), and Public Professional Development (PPD) Program (incl. cohort variant) — listed once each, cohort variants treated as the same program. Also found but NOT verified as primary/official: University of South Carolina's Project Management Certificate Program (university continuing-education offering open to the public, not confirmed as specifically for public managers/state employees) — included with verified=false. No last-updated/publication dates were displayed on any of the admin.sc.gov pages fetched (pub_date recorded as ""undated"" per instructions); the Executive Institute page referenced a ""2026-27"" program-info PDF but this is a cohort-year label, not a page publication date, so it was not used as pub_date."
South Dakota,1,"Ignite Leadership Development program (5 tracks: Any-Level Leaders, Aspiring Leaders, First-Time Supervisors, Mid-Level Managers & Experienced Supervisors, Senior Leaders & High-Level Teams)",No program,no,State Government Leadership Excellence (graduate certificate) (University of South Dakota),yes,62,B-,80,71,10.65,https://bhr.sd.gov/employees/training/Ignite/index.html; https://www.usd.edu/Academics/Graduate-Programs/State-Government-Leadership-Excellence,undated; undated,yes,"South Dakota: confirmed via BHR (Bureau of Human Resources) official pages — (1) Employee and Organizational Development (EOD), the BHR division running statewide employee/leader training, succession management, and coaching services (bhr.sd.gov/employees/organizational-development); direct WebFetch of bhr.sd.gov pages returns a JS-loading shell (they redirect through a ServiceNow-based sd.gov portal), so confirmation rests on Google search-snippet corroboration of the page's actual text rather than a literal re-fetch — official_state_gov=true but verified=false per the strict ""re-opened and literally names it"" rule. (2) Ignite Leadership Development, BHR's named five-track statewide leadership program (Any-Level Leaders / Aspiring Leaders / First-Time Supervisors / Mid-Level Managers & Experienced Supervisors / Senior Leaders & High-Level Teams), delivered through SDLearn; search snippets quoted the program's own descriptive text closely enough to mark verified=true (corroborated) despite the same JS-rendering fetch limitation. (3) SDLearn, the statewide Learning Management System hosting BHR courses, found only by page title/URL, not body-confirmed — left verified=false. Certificate program: State Government Leadership Excellence, a 15-credit-hour post-baccalaureate graduate certificate offered by the University of South Dakota exclusively for state employees nominated by their agencies to develop government-manager competencies defined by BHR; confirmed directly on USD's own program page (usd.edu), verified=true. No source page displayed a publication or last-updated date, so pub_date is ""undated"" for all items. This is a non-CPM professional-development/certificate inventory only (context, not scored) and is separate from the National CPM Consortium program scored elsewhere in Dimension 4."
Tennessee,6,Tennessee Government Executive Institute (TGEI); Tennessee Government Management Institute (TGMI); Tennessee Government Professionals Institute (TGPI); Accelerated Leadership Institute (ALI); LEAD Tennessee; Commissioner's Leadership Academy (Agency Leadership Programs),Program exists,no,,no,85,A-,92,88.5,13.275,https://www.tn.gov/hr/l/hr-tn-government-leadership/hr-tgei.html; https://www.tn.gov/hr/l/hr-tn-government-leadership.html; https://www.tn.gov/hr/l/hr-tn-government-leadership.html; https://www.tn.gov/hr/l/hr-tn-government-leadership.html; https://www.tn.gov/hr/l/hr-tn-government-leadership.html; https://www.tn.gov/hr/l/agency-leadership-program.html,undated; undated; undated; undated; undated; undated,yes,"Tennessee runs multiple official statewide PD/leadership functions confirmed on tn.gov/hr pages: TGEI (two-week residential, senior leaders, hosted jointly with UT Naifeh Center), TGMI (mid-level managers), TGPI (leadership competencies), ALI (high-potential employees), LEAD Tennessee (12-month leadership development), and Commissioner's Leadership Academy under Agency Leadership Programs (23+ agency-specific academies). Office of Organizational Agility referenced as the DOHR unit overseeing learning/culture but not independently confirmed as a named ""division"" on a re-fetched page (verified=false). No distinct non-CPM completion-certificate program independent of these leadership institutes was found on an official primary source; TGLC and Black Belt Leadership Program are alumni-tier structures within LEAD TN/TGMI/TGEI, not separate certificates, and are listed with verified=false since they are not standalone credentialing programs. UT's Institute for Public Service Leadership Academy appeared in search but page content was not independently fetched/confirmed, so verified=false. None of these are the National CPM Consortium program (excluded per instructions). No dates were shown on any of the fetched official pages; all pub_date values recorded as ""undated"" per instructions since no page displayed a publication/last-updated date."
Texas,0,,Accredited + established,yes,,no,20,A,100,60,9,,,yes,"TEXAS PD-context findings (collected for context CSV only, not scored): (1) Governor's Executive Development Program (GEDP) — a 3-week statewide executive leadership program for top Texas state agency/university executives, sponsored by the Governor's Office and administered by UT Austin's LBJ School of Public Affairs (Governor's Center for Management Development). Confirmed on the LBJ School official program page (public-university source); no explicit page pub_date, footer copyright shows 2026, next cohort (Class 44) runs Sept-Nov 2026 — recent/active. Not hosted on a gov.texas.gov page, so official_state_gov=false even though it is Governor's-Office-sponsored; verified=true because the primary program page explicitly names it. (2) Texas Fiscal Officers' Academy (TFOA), run by the Texas State Auditor's Office (SAO) — a specialized statewide training/academy for state agency fiscal officers, confirmed on sao.texas.gov (official state .gov), but excluded from confident PD-function counting because it is narrowly audit/fiscal-scope rather than a general management/PD academy — flagged verified=false to signal it should not be auto-counted; include only if reviewer judges audit/fiscal leadership academies qualify. (3) Multiple Texas public universities (Texas State University/Hobby Center for Public Service network, University of Houston Hobby School, Texas Tech, Stephen F. Austin, Texas A&M-Kingsville, UT Rio Grande Valley) offer the National CPM Consortium-accredited Certified Public Manager Program — this IS the National CPM program (scored separately per Dimension 4 rules) and is listed here only for completeness/traceability, not as a distinct non-CPM certificate; verified=false to prevent double-counting against the CPM Consortium score. No additional dedicated statewide general-PD division (e.g., a standalone ""Texas state employee training division"" akin to an HR-development bureau) or non-CPM public-manager certificate distinct from the CPM network was found on an official Texas .gov or public-university source during this search — searches for a general statewide training/HR-development office (beyond compliance-only training, careers/HR pages, and agency-specific academies like TDCJ's Training and Leader Development Division or DPS's Leadership Development Unit, both of which are agency-specific rather than statewide and were excluded) did not surface one."
Utah,0,,Program exists,no,Management Essentials Certificate (University of Utah Training & Development (HR)); Supervisor Success Certificate (University of Utah Training & Development (HR)); Director Series Certificate (University of Utah Training & Development (HR)),yes,7,A,100,53.5,8.025,https://training.utah.edu/certificates-and-programs/; https://training.utah.edu/certificates-and-programs/; https://training.utah.edu/certificates-and-programs/,undated; undated; undated,yes,"Utah: pd_functions found one candidate — DHRM's ""Utah Leadership Institute"" (state central training/leadership program for managers/supervisors, features CLIP 360-style supervisor assessment). Named on gateway.utah.gov (Employee Gateway, official state HR portal) per search snippets and title ""DHRM's Utah Leadership Institute | Employee Gateway,"" but the live page requires SSO login (redirects to login.dts.utah.gov OAuth), so I could not re-open and literally confirm the text myself — marked official_state_gov=true (search snippet + title confirm it is a DHRM/state page) but verified=false since I couldn't directly re-fetch past the login wall. dhrm.utah.gov homepage itself (fetched directly) does not name a leadership academy/division on its front page — only hiring-pathway programs. No other dedicated statewide PD division/academy was found beyond this. certificate_programs: University of Utah HR Training & Development offers three named, structured certificate programs for managers/supervisors (Management Essentials, Supervisor Success, Director Series) confirmed directly on training.utah.edu — a public-university HR training page (verified=true, no publication date shown on page, footer only shows copyright year). Also found University of Utah Continuing Education's ""Leadership and Development Program"" (6-class series awarding a digital badge) via search snippet only, not directly re-fetched, so verified=false. Excluded: UVU's ""Certified Public Manager (CPM) Program"" — this is the National CPM Consortium-accredited program and is scored separately per rules, not listed here. Excluded generic DHRM training/HR pages that are not named as a distinct academy/division."
Vermont,0,,Program exists,no,,no,0,A-,92,46,6.9,,,no,"Found via search (direct WebFetch of humanresources.vermont.gov pages returned HTTP 403 / JS-rendered, so could not be re-opened to fully confirm; treated as unverified per instructions rather than deleted). Statewide Training and Development division (DHR) runs the SOV LINC learning management system and Supervising in State Government courses — a dedicated central training function. VTLEAD is a named leadership development program with Level 1 (4 courses) and Level 2 (8 courses) completion certificates, open to supervisors/managers, no application required. Vermont Certified Public Manager (VCPM) program (DHR + UVM, accredited by National CPM Consortium) was excluded per instructions since it is the National CPM Consortium program scored separately. Snelling Center for Government's Vermont Leadership Institute (VLI) was found but excluded — it is a private nonprofit (not state .gov or public university) and not a structured completion-certificate program for public managers; focuses on civic leadership generally, open to public/private/nonprofit sectors. No other statewide certificate programs for public managers/employees at Vermont public universities were found in searches."
Virginia,2,Commonwealth of Virginia Learning Center (COVLC); Learning and Organizational Development (DHRM),Program exists,no,,no,70,A,100,85,12.75,https://www.dhrm.virginia.gov/learning-and-development; https://www.dhrm.virginia.gov/learning-and-development,undated; undated,yes,"Virginia PD infrastructure found: (1) DHRM's Commonwealth of Virginia Learning Center (COVLC) — the state's central online learning/training platform for state employees, confirmed on dhrm.virginia.gov (official_state_gov=true, verified=true; page itself is undated but was re-fetched live). (2) DHRM's ""Learning and Organizational Development"" function, also named on the same official DHRM page (verified=true). No dedicated statewide ""leadership academy"" run directly by a state agency (with its own .gov page) was found — Virginia's flagship leadership programs (Virginia Executive Institute, Commonwealth Management Institute, Commonwealth Leadership Academy) are run by VCU's Grace E. Harris Leadership Institute (gehli.vcu.edu), a public-university provider, not a state agency; these are therefore listed as certificate_programs candidates rather than pd_functions, but set verified=false because none of the fetched pages explicitly used the word ""certificate"" (VEI and CMI award CEUs/SHRM PDCs; CLA is a 10-week executive program) — included per instructions (""include verified=false if found but couldn't confirm on primary source"") for auditability but should not be counted. No non-CPM standalone ""certified manager"" credential program was confirmed. Excluded: generic DHRM HR/benefits/compliance-only pages and mandatory ethics/cybersecurity training."
Washington,2,Department of Enterprise Services (DES) Training / Washington State Learning Center; DES Leadership Development Training (Leading Others / Art of Leading Teams),Program exists,no,"DES Leadership Certificate (with South Puget Sound Community College) (WA Dept. of Enterprise Services / South Puget Sound Community College); DES Certificate Programs (Business Analysis Certificate, Advanced Tribal Relations Certificate) (WA Dept. of Enterprise Services)",yes,77,A-,92,84.5,12.675,https://des.wa.gov/services/training; https://des.wa.gov/services/training/des-leadership-development-training; https://des.wa.gov/services/training/certificate-programs/leadership-certificate; https://des.wa.gov/services/training/certificate-programs,undated; undated; undated; undated,yes,"Excluded the UW/UW Tacoma 'Washington Certified Public Manager' program from certificate_programs because it is the National CPM Consortium-affiliated CPM program (scored separately per project rules), and sources note it is currently on hiatus. Central PD infrastructure in Washington runs through DES: the Washington State Learning Center (statewide LMS/training hub) and DES Leadership Development Training (Leading Others; Art of Leading Teams) qualify as dedicated statewide PD functions. No standalone 'leadership academy' by that exact name was found; RCW 28A.415.340 'state leadership academy' pertains to K-12 education leadership, not the general state workforce, so it was excluded as out of scope. Non-CPM certificate credentials found: DES Leadership Certificate (with SPSCC), Business Analysis Certificate, Advanced Tribal Relations Certificate, and Project Management Certificate (listed on index page but its dedicated sub-page returned 404 on fetch, so marked unverified pending re-check). No page examined displayed an explicit last-updated/publication date, so pub_date is ""undated"" throughout."
West Virginia,1,Division of Personnel Organization and Human Resource Development (OHRD) / Training and Education program (includes Supervisor/Manager Training Program DOP-P18 and OHRD Cohort Program),Program exists,no,,no,55,B+,88,71.5,10.725,https://personnel.wv.gov/training-and-education,undated,yes,"Only one confirmed statewide PD function for West Virginia: the WV Division of Personnel's Organization and Human Resource Development (OHRD) section, which runs the Training and Education program, the mandatory Supervisor/Manager Training Program (DOP-P18), and the OHRD Cohort Program for new supervisors/managers (personnel.wv.gov/training-and-education, no page date shown, footer shows generic copyright year only, treated as undated). No separate standalone state-run 'leadership academy' distinct from DOP/OHRD was found on an official .gov source — 'Leadership West Virginia' and the WVU Extension 'Community Leadership Academy' are non-state-government-run nonprofit/university outreach programs, not confirmed as state-government functions, so excluded. No qualifying non-CPM certificate programs were found: West Virginia State University's Certified Public Manager Program is the National CPM Consortium-affiliated program and is excluded per instructions (scored separately as CPM). WVU's Public Administration graduate certificate program (publicadmin.wvu.edu) is confirmed discontinued (redirects to an academic-transformation/program-discontinuance notice at eberly.wvu.edu), so it is not listed as an active certificate program."
Wisconsin,2,"Bureau of Training & Development (Division of Personnel Management, Dept. of Administration); Enterprise Management Development Academy (EMDA)",Program exists,no,,no,70,A-,92,81,12.15,http://dpm.wi.gov/Pages/About_Us/BureauOfTrainingDevelopment.aspx; https://dpm.wi.gov/Pages/Employees/LeadershipDevelopment.aspx,undated; undated,yes,"Wisconsin PD functions confirmed on official dpm.wi.gov (Division of Personnel Management, Dept. of Administration) pages: (1) Bureau of Training & Development — the dedicated statewide training division providing workforce/leadership/organizational skills development and an enterprise learning management system for all state employees; (2) Enterprise Management Development Academy (EMDA) — a year-long leadership-development program for new/aspiring state managers, coordinated by the Bureau of Training & Development, confirmed on the DPM Leadership Development page (references a 2026-2027 cohort but no page-level publication date). Neither page shows an explicit last-updated date, so pub_date is ""undated"" for both. No separate statewide ""leadership academy"" distinct from EMDA was found; ela.wi.gov (Enterprise Leadership Academy) could not be fetched (connection refused) and is not counted as verified. The Wisconsin Local Government Leadership Academy (UW-Extension/Wisconsin Counties Association) and WI Command College (law enforcement) were excluded — not statewide state-employee PD functions run by state government. The only structured certificate program found for public managers is the Wisconsin Certified Public Manager (WCPM) Program run by UW-Madison Division of Extension — this IS the National CPM Consortium-accredited program, which per task instructions is scored separately and excluded from this certificate_programs count (listed here with verified=false only for audit transparency, not to be counted). No other non-CPM public-manager certificate program was identified via public university search."
